°	400	600	700	750	830	900	1000	1200	1400	1600	1800	2000	2200	2400	2500	2600	2800	3000	3200	3400	3600	3800	3900	4000	4100	4200	4400	4800	5200	5600	6000	6200	6400	rpm
0.4	-20.5	-19	-18.5	-18	-17	-15.5	-13	-10.5	-8	-6	-2.5	-2.5	-1	-1	-1.5	-1	1	3	5	6	6	6.5	6	6.5	6	6	6	7.5	7	8.5	10.5	10.5	11.5
0.42	-21	-19.5	-19	-18.5	-18	-16.5	-14	-11.5	-7.5	-5	-3.5	-3.5	-2.5	-2	-2.5	-2	0	1.5	3.5	4.5	4.5	5.5	5	6	5.5	5.5	5.5	7	6	8	9.5	10	11
0.44	-22	-20	-19.5	-19	-18	-17	-15	-12	-8	-5.5	-4	-4	-3	-3	-4	-3	-1.5	0	1.5	3	3.5	5	4.5	5	5	5.5	5.5	6.5	5.5	7	9	9	9.5
0.46	-23	-21	-20	-19.5	-18.5	-18	-16	-12.5	-8	-5.5	-4.5	-4	-3.5	-3.5	-4.5	-3.5	-2	-0.5	0.5	2	2.5	4.5	5	5.5	5.5	5.5	5.5	6	5	6.5	8.5	8	8.5
0.48	-24	-22	-21	-20	-19.5	-18.5	-16.5	-12.5	-9	-6	-4.5	-4	-3.5	-4	-4.5	-4	-2.5	-2	-1	0.5	1.5	4.5	4.5	4.5	5	4.5	4.5	5	3	5	7	6	6
0.5	-24	-22	-21	-20.5	-19.5	-18.5	-17	-12	-8.5	-6	-4	-3.5	-3.5	-4	-4	-3.5	-2.5	-2	-1	0.5	1.5	4.5	4.5	3	3	3.5	3.5	3	2	4	5	5	5
0.52	-24	-23	-22	-21	-20	-19.5	-17.5	-12.5	-8.5	-6	-4	-4	-4.5	-4.5	-4.5	-4	-3.5	-4	-2.5	-0.5	0.5	2.5	3.5	2	2.5	2.5	3	3	1.5	3	3.5	4	4
0.54	-24	-24	-22.5	-22	-21	-20	-18	-12.5	-9	-6.5	-5	-5	-5	-5	-5	-5	-4	-4	-3.5	-3	-2	0.5	1.5	1.5	2	2	2	1.5	0.5	2	1	3	3
0.56	-24	-24	-23.5	-23	-21.5	-20.5	-18.5	-13	-9.5	-7	-5.5	-5	-5.5	-7	-7	-6.5	-5	-4.5	-3.5	-4	-3	-1.5	0.5	1.5	2	2	2	0.5	0	1	1	1.5	1.5
0.58	-24	-24	-24	-23.5	-22	-21	-19	-13	-9.5	-7	-5.5	-6	-6	-7	-7.5	-7	-6	-5	-4.5	-4.5	-3.5	-2	-0.5	0.5	1	1	1	-0.5	-1	-1	-0.5	1	1
0.6	-24	-24	-24	-23.5	-22.5	-21.5	-19	-12.5	-9	-6.5	-5.5	-5.5	-5.5	-6	-7	-6.5	-5.5	-3	-4	-4	-2.5	-1.5	-0.5	0.5	1	0.5	0.5	-1	-2	-2	0	0	0.5
0.62	-24	-24	-24	-24	-23	-22	-19.5	-13	-9	-6.5	-5.5	-5	-5	-6	-6	-6	-4.5	-3	-3.5	-3	-2	-2	-1.5	-0.5	-0.5	-1	-1	-2.5	-3	-3	-0.5	-0.5	0
0.64	-24	-24	-24	-24	-23.5	-22.5	-20	-13.5	-9	-6.5	-5	-4.5	-4.5	-4.5	-4.5	-4.5	-5	-4	-3.5	-4	-3.5	-2.5	-2.5	-1.5	-1.5	-2	-1.5	-3	-3	-2.5	-1	-1	-0.5
0.7	-24	-24	-24	-24	-24	-23.5	-21.5	-15	-9.5	-6.5	-5	-4	-3.5	-3	-3.5	-3	-3.5	-4.5	-4.5	-4.5	-4	-3.5	-3.5	-3.5	-3.5	-3.5	-3.5	-5	-4	-4	-3	-2.5	-2
0.75	-24	-24	-24	-24	-24	-24	-22.5	-16.5	-10	-6.5	-4.5	-3.5	-3.5	-3	-3	-2.5	-3	-3.5	-4.5	-4.5	-3.5	-3	-3.5	-4.5	-4.5	-4.5	-4.5	-6	-5.5	-5	-4	-3.5	-3
g
