°	400	600	700	750	830	900	1000	1200	1400	1600	1800	2000	2200	2400	2500	2600	2800	3000	3200	3400	3600	3800	3900	4000	4100	4200	4400	4800	5200	5600	6000	6200	6400	rpm
0.4	-5.5	-4	-3.5	-3	-2.5	-2	-1.5	2.5	6.5	9.5	12	12.5	15.5	16.5	17	17.5	18.5	19.5	20	20	20	20.5	20.5	20.5	20.5	20	19.5	18	17	18	18.5	18.5	19
0.42	-6.5	-5	-4.5	-4	-3.5	-3	-2	1.5	5	8	11	11	14.5	15.5	16	16	17	18.5	18.5	19	19	19.5	20	20	20	19.5	19	17.5	17.5	17.5	18	18	18.5
0.44	-7.5	-5.5	-5	-4.5	-3.5	-3	-2	0.5	4	6.5	9.5	10.5	13	14.5	14.5	15	15	16.5	17	17.5	17.5	18	18.5	19	18.5	18.5	18	17	16.5	16.5	17	17	17.5
0.46	-8.5	-6.5	-5.5	-5	-4	-3.5	-2.5	0	3.5	6	8	10	11.5	13.5	13.5	13.5	14	15	15.5	16	16.5	17	17.5	18	18	18	17.5	16.5	15.5	15	15	15	15.5
0.48	-9.5	-7.5	-6.5	-5.5	-5	-4	-3	-0.5	2.5	5.5	7	9.5	10.5	12	12	12	13	13.5	14	14.5	15.5	16	16	16	16	15.5	16	14.5	13.5	12.5	14	13	12
0.5	-10	-7.5	-6.5	-6	-5	-4	-3	-0.5	2.5	5	7	9	9.5	11.5	11.5	12	12.5	13	14	14.5	15	15.5	15.5	14.5	14.5	15	15	14	13	12	13.5	12	11
0.52	-11	-8.5	-7.5	-6.5	-5.5	-5	-3.5	-1	2	4.5	6.5	7.5	8	10	10.5	11	11.5	11	12	13	13.5	13.5	14	14	14	14	14	13	12	11	11.5	10.5	10
0.54	-12	-9.5	-8	-7.5	-6.5	-5.5	-4	-1.5	1.5	4	5.5	6.5	7	9	9.5	9.5	10.5	10	11	11.5	12	12.5	13	12.5	12	12	12	11	10	10	10.5	10	9.5
0.56	-13	-10.5	-9	-8.5	-7	-6	-4.5	-2	1	3.5	5	6	6	6.5	7.5	7.5	8	9	10	10.5	11	11	11	11	10.5	10.5	10.5	10	9	9	9	9	9
0.58	-14	-11	-10	-9	-7.5	-6.5	-5	-2.5	0.5	3	4.5	5	5.5	6	6	7	7.5	7	8	9	9.5	9.5	9.5	9.5	9.5	9	9	9	8	8	8.5	8.5	8.5
0.6	-14.5	-11.5	-10.5	-9.5	-8	-7	-5	-2.5	0.5	3	4.5	5	5.5	6	6	6.5	6.5	6	7.5	8.5	8.5	8.5	8.5	8.5	8.5	8	8	8	7	7	7	7	7
0.62	-15.5	-12.5	-11	-10	-8.5	-7.5	-5.5	-3	0	2.5	4	5	5.5	5.5	5.5	5.5	6	6	6.5	7.5	7.5	7	7	7	7	7	6.5	6.5	6	6	6	6	6
0.64	-16.5	-13.5	-12	-11	-9	-8	-6	-3.5	-0.5	2	3.5	4.5	5	5.5	5.5	5.5	4.5	4.5	5.5	6	6	6	6	6	6	6	5.5	5	5	5	5	5	5
0.7	-17.5	-14.5	-13	-12.5	-10.5	-9	-7.5	-5	-1.5	0.5	1.5	2.5	3	3.5	3.5	3.5	3	2.5	3	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3	3	3	3	3	3	3
0.75	-18.5	-15	-13.5	-12.5	-11.5	-10	-8.5	-6.5	-2.5	-1	0	1	1.5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
g
